Rank,School Name,School Type,Early Career Pay,Mid-Career Pay,% High Meaning,% STEM Degrees
77,George Washington University,"Private School, Research University, For Sports Fans",56200,115900,0.45,0.14
78,Saint Mary's College of California,"Private School, Religious, For Sports Fans",56000,115800,0.49,0.05
79,Bowdoin College,"Liberal Arts School, Private School",55500,115500,0.54,0.35
80,Boston College,"Private School, Religious, Research University, For Sports Fans",59200,115300,0.42,0.11
81,University of California-Los Angeles,"Research University, For Sports Fans, State School",57500,114800,0.47,0.31
82 (tie),California Polytechnic State University-San Luis Obispo,"For Sports Fans, State School",61100,114700,0.53,0.41
82 (tie),Loyola Marymount University,"Private School, Religious, For Sports Fans",53800,114700,0.4,0.1
82 (tie),Villanova University,"Private School, Religious, Research University, For Sports Fans",61400,114700,0.42,0.23
85,Illinois Institute of Technology,"Engineering, Private School, Research University, Sober School",60600,114400,0.5,0.6
86,Bentley University,"Business, Private School",62000,114300,0.36,0.07
87 (tie),Brandeis University,"Private School, Research University",55300,114200,0.48,0.26
87 (tie),Loyola University Maryland,"Private School, Religious, For Sports Fans",55100,114200,0.39,0.08
89 (tie),Menlo College,"Business, Private School",55800,114100,0.53,0
89 (tie),Pomona College,"Liberal Arts School, Private School",57500,114100,0.46,0.43
91,Carleton College,"Liberal Arts School, Private School",53800,113800,0.46,0.4
92,Boston University,"Private School, Research University, For Sports Fans",56100,113500,0.42,0.23
93 (tie),Pennsylvania State University-Penn State Great Valley,"Business, State School",57900,113400,N/A,0.19
93 (tie),Washington University in St Louis,"Private School, Research University",60100,113400,0.44,0.31
95,Northwestern University,"Private School, Research University, For Sports Fans",59500,113300,0.48,0.19
96 (tie),Embry-Riddle Aeronautical University-Prescott,Private School,60500,113200,0.54,0.39
96 (tie),Middlebury College,"Liberal Arts School, Private School",56300,113200,0.52,0.18
98 (tie),Franklin and Marshall College,"Liberal Arts School, Private School",53700,112400,0.43,0.21
98 (tie),Texas A & M University-College Station,"Research University, For Sports Fans, State School",57200,112400,0.54,0.3
100 (tie),Johns Hopkins University,"Private School, Research University",63200,112200,0.59,0.33
100 (tie),Missouri University of Science and Technology,"Engineering, Research University, State School",65200,112200,0.51,0.81
102,College of William and Mary,"Research University, For Sports Fans, State School",54400,111900,0.44,0.2
103,Westmont College,"Liberal Arts School, Private School",50700,111500,0.54,0.18
104 (tie),Davidson College,"Liberal Arts School, Private School, Religious, For Sports Fans",53100,111400,0.54,0.24
104 (tie),Gettysburg College,"Liberal Arts School, Private School",52600,111400,0.4,0.23
106,Fordham University,"Private School, Religious, Research University, For Sports Fans",54400,111300,0.38,0.09
107,Case Western Reserve University,"Private School, Research University",62400,111100,0.45,0.37
108,University of California-Davis,"Research University, For Sports Fans, State School",56700,110900,0.53,0.37
109,Saint Johns University,"Liberal Arts School, Private School, Religious",54700,110800,0.46,0.23
110,Kenyon College,"Liberal Arts School, Private School",51700,110400,0.47,0.17
111 (tie),Hofstra University,"Private School, Research University, For Sports Fans",53000,110200,0.39,0.07
111 (tie),SUNY at Binghamton,"Research University, For Sports Fans, State School",56400,110200,0.44,0.33
111 (tie),Virginia Polytechnic Institute and State University,"Research University, For Sports Fans, State School",58600,110200,0.48,0.39
114,South Dakota School of Mines and Technology,"Engineering, State School",63900,109900,0.6,0.92
115,Emory University,"Private School, Religious, Research University",56700,109800,0.44,0.21
116,University of the Pacific,"Private School, Research University, For Sports Fans",55500,109700,0.56,0.18
117 (tie),University of Colorado Boulder,"Party School, Research University, For Sports Fans, State School",53400,109600,0.48,0.36
117 (tie),University of Illinois at Urbana-Champaign,"Party School, Research University, For Sports Fans, State School",58600,109600,0.46,0.37
117 (tie),University of San Francisco,"Private School, Religious, Research University, For Sports Fans",56800,109600,0.55,0.06
120,DePauw University,"Liberal Arts School, Private School",52300,109400,0.5,0.23
121,Wentworth Institute of Technology,Private School,59200,108900,0.52,0.35
122 (tie),Stony Brook University,"Research University, For Sports Fans, State School",54300,108800,0.48,0.35
122 (tie),University of Washington-Seattle Campus,"Research University, For Sports Fans, State School",57300,108800,0.53,0.32
124 (tie),San Jose State University,"For Sports Fans, State School",58500,108700,0.53,0.27
124 (tie),Trinity College,"Liberal Arts School, Private School",55600,108700,0.49,0.18
124 (tie),Tulane University of Louisiana,"Party School, Private School, Research University, For Sports Fans",52300,108700,0.43,0.18
124 (tie),Wittenberg University,"Liberal Arts School, Private School, Religious",48400,108700,0.61,0.27
128,Southern Methodist University,"Private School, Religious, Research University, For Sports Fans",55000,108500,0.47,0.2
129,California State Polytechnic University-Pomona,State School,53600,108300,0.51,0.28
130 (tie),Drexel University,"Private School, Research University, For Sports Fans",58400,108200,0.47,0.28
130 (tie),St John's University-New York,"Private School, Religious, Research University, For Sports Fans",51800,108200,0.45,0.07
130 (tie),Citadel Military College of South Carolina,"For Sports Fans, State School",56100,108200,0.65,0.18
133 (tie),Rutgers University-New Brunswick,"Research University, For Sports Fans, State School",55800,108100,0.42,0.28
133 (tie),University of San Diego,"Private School, Religious, Research University, For Sports Fans",54400,108100,0.48,0.12
135,Providence College,"Private School, Religious, For Sports Fans",54700,107900,0.4,0.1
136 (tie),Occidental College,"Liberal Arts School, Private School",51800,107700,0.46,0.25
136 (tie),Whitman College,"Liberal Arts School, Private School",50000,107700,0.48,0.38
138,Oberlin College,"Liberal Arts School, Private School",49400,107600,0.49,0.23
139,Michigan Technological University,"Engineering, Research University, State School",63000,107500,0.49,0.77
140 (tie),University of California-Riverside,"Research University, For Sports Fans, State School",51600,107400,0.44,0.33
140 (tie),University of Rochester,"Private School, Research University",57500,107400,0.55,0.32
140 (tie),The University of Texas at Austin,"Research University, For Sports Fans, State School",56900,107400,0.49,0.26
143,University of Maryland-College Park,"Research University, For Sports Fans, State School",57600,107100,0.5,0.32
144 (tie),Capitol Technology University,"Engineering, Private School",61100,107000,0.62,0.83
144 (tie),Hamilton College,"Liberal Arts School, Private School",58600,107000,0.47,0.28
146 (tie),American University,"Private School, Religious, Research University, For Sports Fans",51800,106900,0.43,0.03
146 (tie),Milwaukee School of Engineering,"Engineering, Private School",63400,106900,0.5,0.67
148 (tie),Brigham Young University-Provo,"Private School, Religious, Research University, Sober School, For Sports Fans",55400,106600,0.6,0.25
148 (tie),University of Richmond,"Liberal Arts School, Private School, For Sports Fans",55400,106600,0.44,0.14
150,Pace University-New York,"Private School, Research University",55400,106200,0.4,0.11
151,"University of St. Thomas - St Paul, MN","Private School, Religious, Research University",53400,106100,0.49,0.17
152,Hampden-Sydney College,"Liberal Arts School, Private School",54800,105900,0.48,0.23
153,Gonzaga University,"Private School, Religious, For Sports Fans",53800,105800,0.48,0.17
154,University of Massachusetts-Lowell,"Research University, For Sports Fans, State School",55400,105500,0.53,0.35
155,Bryant University,"Business, Private School, For Sports Fans",56300,105200,0.34,0.08
156,Denison University,"Liberal Arts School, Private School",51000,105100,0.41,0.22
157,Saint Joseph's University,"Private School, Religious, For Sports Fans",53300,104800,0.41,0.04
158 (tie),Miami University-Oxford,"Research University, For Sports Fans, State School",53500,104600,0.46,0.18
158 (tie),University of Michigan-Ann Arbor,"Research University, For Sports Fans, State School",59300,104600,0.46,0.38
160,George Mason University,"Research University, For Sports Fans, State School",55100,104300,0.49,0.22
161,Colby College,"Liberal Arts School, Private School",55200,104200,0.42,0.28
162 (tie),Furman University,"Liberal Arts School, Private School, For Sports Fans",48100,104000,0.51,0.16
162 (tie),Pepperdine University,"Private School, Religious, Research University, For Sports Fans",53100,104000,0.45,0.08
162 (tie),Purdue University-Main Campus,"Research University, For Sports Fans, State School",58000,104000,0.49,0.38
165 (tie),La Salle University,"Private School, Religious, For Sports Fans",51100,103900,0.4,0.05
165 (tie),Reed College,"Liberal Arts School, Private School",51100,103900,0.51,0.26
165 (tie),The New School,"Art, Private School, Research University",50000,103900,0.35,0
168,University of California-Santa Cruz,"Research University, State School",53500,103800,0.45,0.37
169,Barnard College,"Liberal Arts School, Private School",53500,103700,0.57,0.19
170,Ithaca College,Private School,48700,103500,0.42,0.08
171,Catholic University of America,"Private School, Religious, Research University",52800,103400,0.56,0.14
172 (tie),Iona College,"Business, Private School, Religious, For Sports Fans",52000,103300,0.39,0.05
172 (tie),Northeastern University,"Private School, Research University, For Sports Fans",58300,103300,0.47,0.37
174 (tie),Marquette University,"Private School, Religious, Research University, For Sports Fans",54300,103100,0.54,0.24
174 (tie),Wagner College,"Private School, Religious, For Sports Fans",53900,103100,0.5,0.11
176,CUNY Bernard M Baruch College,"Business, Sober School, State School",54500,103000,0.37,0.07
177,Syracuse University,"Party School, Private School, Research University, For Sports Fans",53900,102900,0.43,0.27
178 (tie),Ohio Wesleyan University,"Liberal Arts School, Private School, Religious",47800,102800,0.46,0.17
178 (tie),Saint Michael's College,"Liberal Arts School, Private School, Religious",50400,102800,0.43,0.18
180 (tie),Pratt Institute-Main,"Art, Private School",49900,102700,0.45,0
180 (tie),University of Delaware,"Party School, Research University, For Sports Fans, State School",54300,102700,0.43,0.22
182 (tie),Bradley University,"Private School, For Sports Fans",52000,102600,0.46,0.38
182 (tie),Montana Tech of the University of Montana,"Engineering, State School",61800,102600,0.64,0.62
182 (tie),University of Dayton,"Private School, Religious, Research University, For Sports Fans",53700,102600,0.44,0.3
185,Lawrence Technological University,"Engineering, Private School",54700,102300,0.47,0.51
186,University of Portland,"Private School, Religious, For Sports Fans",55100,102100,0.5,0.24
187,California State University-Chico,State School,52700,102000,0.53,0.11
188,St. John's College,"Liberal Arts School, Private School",51800,101900,N/A,0
189 (tie),Albion College,"Liberal Arts School, Private School, Religious",48500,101700,0.48,0.24
189 (tie),Dickinson College,"Liberal Arts School, Private School",52400,101700,0.49,0.22
189 (tie),James Madison University,"For Sports Fans, State School",53400,101700,0.42,0.13
189 (tie),Lake Forest College,"Liberal Arts School, Private School",51000,101700,0.49,0.23
189 (tie),North Carolina State University at Raleigh,"Research University, For Sports Fans, State School",53800,101700,0.53,0.47
194 (tie),New York Institute of Technology,Private School,52500,101600,0.49,0.35
194 (tie),Trinity University,"Private School, Religious",51100,101600,0.51,0.22
196 (tie),Stonehill College,"Liberal Arts School, Private School, Religious",51800,101400,0.37,0.17
196 (tie),University of Scranton,"Private School, Religious",52000,101400,0.43,0.13
198,University of Washington-Bothell Campus,State School,56600,101200,0.48,0.23
199 (tie),Clemson University,"Research University, For Sports Fans, State School",54300,101100,0.51,0.37
199 (tie),Embry-Riddle Aeronautical University-Daytona Beach,Private School,58900,101100,0.55,0.39
201,Wellesley College,"Liberal Arts School, Private School",53800,100900,0.48,0.29
202 (tie),SUNY Downstate Medical Center,State School,61400,100600,0.88,0.01
202 (tie),Texas Tech University,"Research University, For Sports Fans, State School",53400,100600,0.54,0.22
202 (tie),West Virginia University Institute of Technology,State School,54100,100600,0.56,0.44
205 (tie),Fashion Institute of Technology,State School,50300,100500,0.28,0
205 (tie),SUNY at Albany,"Research University, For Sports Fans, State School",49300,100500,0.44,0.17
205 (tie),"Westminster College - Fulton, MO","Liberal Arts School, Private School, Religious",47200,100500,0.58,0.27
208 (tie),Muhlenberg College,"Liberal Arts School, Private School, Religious",50000,100400,0.43,0.22
208 (tie),Saint Anselm College,"Liberal Arts School, Private School, Religious",52500,100400,0.6,0.16
210,DePaul University,"Private School, Religious, Research University, For Sports Fans",51500,100200,0.44,0.16
211 (tie),Golden Gate University-San Francisco,"Business, Private School",56600,100100,0.5,0.02
211 (tie),San Diego State University,"Research University, For Sports Fans, State School",51100,100100,0.53,0.17
213 (tie),Touro College,Private School,55700,99800,0.56,0.07
213 (tie),University of Puget Sound,"Liberal Arts School, Private School",50500,99800,0.47,0.21
215,University of Tulsa,"Private School, Religious, Research University, For Sports Fans",55800,99700,0.51,0.35
216,Pennsylvania State University-Main Campus,"Research University, For Sports Fans, State School",55200,99600,0.47,0.35
217 (tie),Art Center College of Design,"Art, Private School",59200,99500,0.41,0.04
217 (tie),Auburn University,"Research University, For Sports Fans, State School",50700,99500,0.52,0.28
217 (tie),Merrimack College,"Private School, Religious",51900,99500,0.48,0.11
220 (tie),University of Redlands,"Business, Private School",50200,99400,0.56,0.05
220 (tie),Ursinus College,"Liberal Arts School, Private School",50200,99400,0.34,0.43
222,University of Massachusetts-Amherst,"Research University, For Sports Fans, State School",53500,99300,0.46,0.24
223 (tie),Coleman University,"Engineering, Private School",55800,99200,0.49,0.8
223 (tie),Connecticut College,"Liberal Arts School, Private School",53200,99200,0.36,0.27
223 (tie),University of Connecticut,"Research University, For Sports Fans, State School",55400,99200,0.48,0.24
226 (tie),University of Maryland-Baltimore County,"Research University, For Sports Fans, State School",54000,99100,0.5,0.44
226 (tie),University of Puerto Rico-Mayaguez,"Engineering, State School",59600,99100,0.53,0.57
228,Polytechnic University of Puerto Rico-Miami,"Business, Private School",55800,99000,N/A,0.26
229 (tie),Vassar College,"Liberal Arts School, Private School",52100,98900,0.51,0.27
229 (tie),Willamette University,"Liberal Arts School, Private School",47700,98900,0.47,0.12
231 (tie),California State University-Long Beach,"For Sports Fans, State School",49200,98800,0.5,0.16
231 (tie),Louisiana State University and Agricultural & Mechanical College,"Research University, For Sports Fans, State School",51800,98800,0.53,0.23
233 (tie),Baylor University,"Private School, Religious, Research University, Sober School, For Sports Fans",51600,98700,0.49,0.17
233 (tie),Oregon State University,"Research University, For Sports Fans, State School",52200,98700,0.54,0.3
233 (tie),Rochester Institute of Technology,"Private School, Research University",58400,98700,0.44,0.47
233 (tie),St Olaf College,"Liberal Arts School, Private School, Religious",49000,98700,0.52,0.32
233 (tie),University of California-San Francisco,State School,53500,98700,N/A,0.17
238 (tie),Florida Institute of Technology,"Engineering, Private School, Research University",55300,98600,0.54,0.51
238 (tie),Siena College,"Liberal Arts School, Private School, Religious, For Sports Fans",50200,98600,0.47,0.16
240 (tie),University of Alabama in Huntsville,"Research University, State School",54200,98500,0.59,0.42
240 (tie),University of Illinois at Chicago,"Research University, For Sports Fans, State School",52800,98500,0.48,0.29
242 (tie),Smith College,"Liberal Arts School, Private School",48800,98400,0.53,0.23
242 (tie),St Lawrence University,"Liberal Arts School, Private School",52000,98400,0.46,0.24
242 (tie),Universidad Politecnica de Puerto Rico,"Engineering, Private School",52100,98400,N/A,0.67
242 (tie),University of Wisconsin-Madison,"Party School, Research University, For Sports Fans, State School",53400,98400,0.5,0.32
246 (tie),California College of the Arts,"Art, Private School",52500,98300,0.46,0
246 (tie),The College of New Jersey,State School,54400,98300,0.45,0.15
248 (tie),Seattle Pacific University,"Private School, Religious, Research University",49000,98200,0.53,0.1
248 (tie),University of Minnesota-Twin Cities,"Research University, For Sports Fans, State School",53400,98200,0.52,0.28
250 (tie),University of Rhode Island,"Party School, Research University, For Sports Fans, State School",50900,98100,0.48,0.19
250 (tie),Washington State University,"Research University, For Sports Fans, State School",52400,98100,0.51,0.2
252,Grove City College,"Liberal Arts School, Private School, Religious, Sober School",49800,97900,0.5,0.3
253 (tie),Drake University,"Private School, For Sports Fans",49200,97800,0.48,0.09
253 (tie),University of Florida,"Party School, Research University, For Sports Fans, State School",52200,97800,0.52,0.27
255 (tie),Felician University,"Private School, Religious",51500,97700,0.51,0.1
255 (tie),Macalester College,"Liberal Arts School, Private School, Religious",49500,97700,0.47,0.33
255 (tie),Seattle University,"Private School, Religious, For Sports Fans",55000,97700,0.48,0.12
255 (tie),University of Houston,"Research University, For Sports Fans, State School",53100,97700,0.51,0.22
259 (tie),California State University-Fullerton,"Research University, For Sports Fans, State School",47400,97600,0.48,0.14
259 (tie),Howard University,"Private School, Research University, For Sports Fans",52200,97600,0.55,0.12
259 (tie),Wofford College,"Liberal Arts School, Private School, Religious, For Sports Fans",47200,97600,0.5,0.26
262 (tie),University of Utah,"Research University, For Sports Fans, State School",51100,97500,0.58,0.21
262 (tie),"Wheaton College - Norton, MA","Liberal Arts School, Private School",48900,97500,0.47,0.26
264 (tie),Skidmore College,"Liberal Arts School, Private School",51200,97300,0.4,0.21
264 (tie),University of Georgia,"Research University, For Sports Fans, State School",50200,97300,0.46,0.12
266 (tie),Michigan State University,"Research University, For Sports Fans, State School",51800,97200,0.48,0.19
266 (tie),University of Hartford,"Private School, Research University, For Sports Fans",51000,97200,0.52,0.18
266 (tie),The University of Texas at Dallas,"Research University, State School",53600,97200,0.42,0.43
269 (tie),Clark University,"Private School, Research University",47600,97100,0.42,0.14
269 (tie),Rhodes College,"Liberal Arts School, Private School, Religious",47900,97100,0.46,0.3
269 (tie),University of Denver,"Private School, Research University, For Sports Fans",51700,97100,0.5,0.12
272 (tie),California State University-Sacramento,"For Sports Fans, State School",50900,97000,0.52,0.12
272 (tie),Colorado College,"Liberal Arts School, Private School",49700,97000,0.53,0.28
272 (tie),Presbyterian College,"Liberal Arts School, Private School, Religious, For Sports Fans",46000,97000,0.62,0.16
272 (tie),University of Alaska Fairbanks,"Research University, State School",55400,97000,0.57,0.19
272 (tie),University of Arizona,"Research University, For Sports Fans, State School",52700,97000,0.52,0.24
277 (tie),Saint Peter's University,"Private School, Religious, For Sports Fans",50700,96800,0.35,0.12
277 (tie),Seton Hall University,"Private School, Religious, Research University, For Sports Fans",53900,96800,0.46,0.08
277 (tie),University of Vermont,"Party School, Research University, For Sports Fans, State School",49500,96800,0.52,0.21
280 (tie),Butler University,"Private School, For Sports Fans",48900,96700,0.51,0.09
280 (tie),Oregon Institute of Technology,State School,59200,96700,0.57,0.24
280 (tie),Scripps College,"Liberal Arts School, Private School",51000,96700,0.49,0.24
280 (tie),University of Iowa,"Party School, Research University, For Sports Fans, State School",50700,96700,0.48,0.15
284 (tie),Manhattanville College,Private School,50900,96600,0.45,0.04
284 (tie),Notre Dame de Namur University,"Private School, Religious",53500,96600,0.51,0.1
284 (tie),"Wheaton College - Wheaton, IL","Liberal Arts School, Private School, Religious, Sober School",49600,96600,0.59,0.15
287,St. John's College-Department of Nursing,"Private School, Religious",50800,96500,N/A,0
288,San Francisco State University,"Research University, State School",52900,96400,0.49,0.13
289 (tie),Arizona State University-Tempe,"Research University, For Sports Fans, State School",51400,96300,0.51,0.3
289 (tie),Rhode Island School of Design,"Art, Private School",50500,96300,0.4,0
291,Grinnell College,"Liberal Arts School, Private School",48800,96200,0.47,0.36
292 (tie),The University of Texas Health Science Center at Houston,State School,61100,96100,0.72,0.14
292 (tie),University of New Hampshire-Main Campus,"Research University, For Sports Fans, State School",50600,96100,0.52,0.21
292 (tie),University of Oklahoma-Norman Campus,"Research University, For Sports Fans, State School",51900,96100,0.53,0.21
295,University of North Carolina at Chapel Hill,"Research University, For Sports Fans, State School",51200,96000,0.51,0.18
296,Iowa State University,"Research University, For Sports Fans, State School",52700,95800,0.48,0.32
297 (tie),Rutgers University-Newark,"Research University, State School",54300,95700,0.43,0.09
297 (tie),University of Missouri-Columbia,"Research University, For Sports Fans, State School",49100,95700,0.51,0.17
299 (tie),Allegheny College,"Liberal Arts School, Private School, Religious",46700,95600,0.44,0.38
299 (tie),McDaniel College,"Liberal Arts School, Private School",48700,95600,0.51,0.06
299 (tie),Ohio Northern University,"Private School, Religious",51400,95600,0.51,0.2
299 (tie),Rush University,Private School,60800,95600,0.86,0.06
303 (tie),Assumption College,"Private School, Religious",50700,95500,0.51,0.12
303 (tie),Marist College,"Private School, For Sports Fans",51600,95500,0.31,0.16
305 (tie),California Lutheran University,"Private School, Religious",48000,95300,0.54,0.13
305 (tie),John Carroll University,"Private School, Religious",47900,95300,0.38,0.16
305 (tie),Norwich University,Private School,53500,95300,0.55,0.19
305 (tie),University of Texas Southwestern Medical Center,State School,53800,95300,N/A,0.19
309 (tie),CUNY Queens College,"Sober School, State School",48700,95200,0.43,0.07
309 (tie),California State University-Northridge,"For Sports Fans, State School",47900,95200,0.49,0.11
309 (tie),Kalamazoo College,"Liberal Arts School, Private School",47400,95200,0.53,0.39
309 (tie),Susquehanna University,"Liberal Arts School, Private School, Religious",47300,95200,0.39,0.16
309 (tie),University of Kansas,"Party School, Research University, For Sports Fans, State School",49500,95200,0.53,0.17
309 (tie),Western Washington University,State School,50600,95200,0.46,0.14
315 (tie),Lawrence University,"Liberal Arts School, Private School",47000,95100,0.64,0.21
315 (tie),Otis College of Art and Design,"Art, Private School",49600,95100,0.38,0
317 (tie),Fairleigh Dickinson University-Florham Campus,"Private School, For Sports Fans",50800,95000,0.44,0.11
317 (tie),Monmouth University,"Private School, For Sports Fans",48400,95000,0.44,0.1
317 (tie),Pacific Lutheran University,"Private School, Religious",50000,95000,0.56,0.17
317 (tie),Rider University,"Private School, For Sports Fans",48700,95000,0.44,0.04
321,College of Staten Island CUNY,State School,48800,94900,0.45,0.09
322 (tie),CUNY Brooklyn College,State School,48200,94800,0.43,0.08
322 (tie),California State University-East Bay,State School,53900,94800,0.52,0.12
322 (tie),Lewis & Clark College,"Liberal Arts School, Private School",46800,94800,0.49,0.1
322 (tie),Linfield College-Online and Continuing Education,"Private School, Religious",49000,94800,N/A,0
322 (tie),University of Oklahoma-Health Sciences Center,State School,54700,94800,N/A,0.03
327,Sarah Lawrence College,"Liberal Arts School, Private School",47600,94700,0.37,0
328 (tie),Hampshire College,"Liberal Arts School, Private School",45800,94500,0.51,0.15
328 (tie),Ramapo College of New Jersey,State School,48100,94500,0.43,0.11
328 (tie),West Virginia University,"Party School, Research University, For Sports Fans, State School",50800,94500,0.54,0.22
331 (tie),Chapman University,"Private School, Religious",49200,94400,0.46,0.05
331 (tie),Hartwick College,"Liberal Arts School, Private School",48900,94400,0.61,0.26
