Rank,School Name,School Sector,Early Career Pay,Mid-Career Pay,% High Meaning,% STEM Degrees
185 (tie),Minnesota State University-Mankato,Public,43900,64800,N/A,0.11
185 (tie),New England Institute of Technology,Private not-for-profit,41600,64800,0.5,0.17
185 (tie),Oregon Institute of Technology,Public,42400,64800,N/A,0.24
185 (tie),Our Lady of the Lake College,Private not-for-profit,44600,64800,N/A,0
185 (tie),Trinity College of Nursing & Health Sciences,Private not-for-profit,45300,64800,N/A,0
190,Brookdale Community College,Public,42200,64700,0.5,0.04
191 (tie),Cabarrus College of Health Sciences,Private not-for-profit,45200,64600,N/A,0
191 (tie),Franklin Pierce University,Private not-for-profit,40200,64600,N/A,0.04
191 (tie),Lamar Institute of Technology,Public,45600,64600,0.74,0.02
191 (tie),Long Beach City College,Public,43200,64600,0.54,0.08
191 (tie),University of Saint Francis-Fort Wayne,Private not-for-profit,44300,64600,N/A,0.04
191 (tie),University of West Alabama,Public,44700,64600,N/A,0.03
197 (tie),American River College,Public,40100,64500,0.64,0.06
197 (tie),Franklin University,Private not-for-profit,41800,64500,N/A,0.07
197 (tie),Pittsburg State University,Public,43100,64500,N/A,0.07
197 (tie),Southern Illinois University-Carbondale,Public,45700,64500,0.62,0.16
201 (tie),Canada College,Public,44700,64400,N/A,0.05
201 (tie),Cochise County Community College District,Public,44400,64400,0.61,0.02
201 (tie),Highline College,Public,40200,64400,0.65,0.07
201 (tie),Mesa Community College,Public,40400,64400,0.56,0.1
205 (tie),Alvernia University,Private not-for-profit,44000,64300,N/A,0.03
205 (tie),Asnuntuck Community College,Public,41900,64300,N/A,0.01
205 (tie),College of Alameda,Public,41500,64300,N/A,0.03
205 (tie),Fullerton College,Public,38100,64300,0.48,0.06
205 (tie),Louisiana Tech University,Public,45000,64300,N/A,0.2
205 (tie),Renton Technical College,Public,44600,64300,0.5,0.1
205 (tie),Ventura College,Public,42000,64300,0.61,0.02
205 (tie),Wenatchee Valley College,Public,40800,64300,0.6,0.04
213 (tie),Green River College,Public,43300,64200,0.59,0.14
213 (tie),Hesston College,Private not-for-profit,43500,64200,N/A,0
213 (tie),South Seattle College,Public,41500,64200,0.41,0.05
216 (tie),Amarillo College,Public,43300,64100,0.68,0.07
216 (tie),Los Angeles Pierce College,Public,40600,64100,0.43,0.02
216 (tie),Modesto Junior College,Public,39800,64100,0.58,0.04
216 (tie),San Bernardino Valley College,Public,40100,64100,0.61,0.04
216 (tie),Trinity Valley Community College,Public,42400,64100,0.61,0.04
221 (tie),Community College of Denver,Public,41200,64000,0.61,0.01
221 (tie),Florida Keys Community College,Public,42000,64000,N/A,0.04
221 (tie),George Washington University,Private not-for-profit,40100,64000,N/A,0.14
221 (tie),Hudson Valley Community College,Public,41100,64000,0.57,0.1
221 (tie),Santa Barbara City College,Public,43400,64000,0.52,0.05
221 (tie),Seattle Central College,Public,45500,64000,0.57,0.12
221 (tie),Solano Community College,Public,43600,64000,0.56,0.04
228 (tie),Alvin Community College,Public,43900,63900,0.54,0.03
228 (tie),Austin Community College District,Public,43400,63900,0.69,0.09
228 (tie),Dean College,Private not-for-profit,42100,63900,0.52,0.01
228 (tie),Felician University,Private not-for-profit,42700,63900,N/A,0.1
228 (tie),Wharton County Junior College,Public,42800,63900,0.59,0.03
233 (tie),Cape Cod Community College,Public,42900,63800,0.69,0.03
233 (tie),Marian University,Private not-for-profit,43700,63800,N/A,0.05
233 (tie),Quincy College,Public,44900,63800,0.56,0.04
233 (tie),Rio Hondo College,Public,39800,63800,0.58,0.03
237 (tie),College of the Sequoias,Public,40700,63700,0.6,0.03
237 (tie),Indiana University-Northwest,Public,44500,63700,0.69,0.08
237 (tie),Massasoit Community College,Public,42500,63700,0.51,0.03
237 (tie),Ocean County College,Public,39000,63700,0.51,0.02
241 (tie),El Camino Community College District,Public,41900,63600,N/A,0.09
241 (tie),Lane College,Private not-for-profit,42000,63600,N/A,0.24
241 (tie),Los Angeles Valley College,Public,42100,63600,0.56,0.03
244 (tie),Cerritos College,Public,41000,63500,0.53,0.04
244 (tie),Edmonds Community College,Public,42800,63500,0.44,0.24
244 (tie),Elgin Community College,Public,40800,63500,0.55,0.02
244 (tie),Irvine Valley College,Public,42200,63500,N/A,0.07
248 (tie),Albertus Magnus College,Private not-for-profit,42900,63400,N/A,0.01
248 (tie),Clark College,Public,39200,63400,0.54,0.06
248 (tie),Houston Community College,Public,39400,63400,0.6,0.02
248 (tie),Laramie County Community College,Public,42800,63400,0.79,0.05
248 (tie),Montgomery College,Public,41600,63400,0.63,0.09
248 (tie),Pratt Institute-Main,Private not-for-profit,42600,63400,N/A,0
248 (tie),Suffolk County Community College,Public,41700,63400,0.52,0.02
248 (tie),University of the District of Columbia,Public,44800,63400,N/A,0.1
248 (tie),Western Wyoming Community College,Public,40900,63400,0.58,0.12
257 (tie),Cincinnati State Technical and Community College,Public,40400,63300,0.58,0.04
257 (tie),Wyotech-Laramie,Private not-for-profit,40600,63300,0.44,0
259 (tie),Bacone College,Private not-for-profit,43600,63200,N/A,0
259 (tie),Great Bay Community College,Public,39200,63200,N/A,0.16
259 (tie),Middlesex County College,Public,41100,63200,0.54,0.14
259 (tie),San Diego Miramar College,Public,40700,63200,N/A,0.14
259 (tie),The University of Findlay,Private not-for-profit,43000,63200,N/A,0.03
264 (tie),Armstrong State University,Public,44900,63100,N/A,0.11
264 (tie),Middle Georgia State University,Public,41500,63100,0.7,0.11
264 (tie),Triton College,Public,41900,63100,0.57,0.01
264 (tie),University of Central Florida,Public,37500,63100,0.52,0.17
268 (tie),Bunker Hill Community College,Public,43900,63000,0.56,0.16
268 (tie),Missouri Southern State University,Public,42100,63000,N/A,0.09
268 (tie),Raritan Valley Community College,Public,43700,63000,0.67,0.07
268 (tie),Thaddeus Stevens College of Technology,Public,40900,63000,0.49,0.09
268 (tie),Wichita State University,Public,42000,63000,N/A,0.24
273 (tie),Anne Arundel Community College,Public,42200,62900,0.55,0.13
273 (tie),College of DuPage,Public,41200,62900,0.52,0.07
273 (tie),Kansas State University,Public,42500,62900,N/A,0.17
273 (tie),Norwalk Community College,Public,42100,62900,0.55,0.06
273 (tie),Palm Beach State College,Public,39200,62900,0.62,0.07
273 (tie),Passaic County Community College,Public,40500,62900,0.46,0.04
273 (tie),University of Cincinnati-Blue Ash College,Public,44000,62900,0.63,0.1
273 (tie),Western Connecticut State University,Public,41200,62900,N/A,0.07
281 (tie),Delaware County Community College,Public,41500,62800,0.56,0.05
281 (tie),Kent State University at East Liverpool,Public,42500,62800,N/A,0.01
281 (tie),Lincoln University,Public,43300,62800,N/A,0.07
281 (tie),National University,Private not-for-profit,43400,62800,N/A,0.07
281 (tie),Naugatuck Valley Community College,Public,42900,62800,0.58,0.02
281 (tie),Springfield Technical Community College,Public,45300,62800,0.6,0.07
287 (tie),Collin County Community College District,Public,39900,62700,0.48,0.06
287 (tie),Riverside City College,Public,40200,62700,0.61,0.03
287 (tie),Salt Lake Community College,Public,40300,62700,0.54,0.15
290 (tie),Broward College,Public,38800,62600,0.6,0.04
290 (tie),Mt San Antonio College,Public,40000,62600,0.55,0.07
290 (tie),New Mexico State University-Main Campus,Public,39500,62600,0.66,0.21
290 (tie),Pierce College-Fort Steilacoom,Public,40600,62600,0.65,0.04
294 (tie),North Seattle College,Public,44200,62500,0.57,0.08
294 (tie),Northern Essex Community College,Public,40900,62500,0.61,0.09
294 (tie),Pierce College-Puyallup,Public,40900,62500,0.5,0.2
294 (tie),University of Wisconsin Colleges,Public,36300,62500,0.43,0
298 (tie),Casper College,Public,42400,62400,0.69,0.06
298 (tie),Frederick Community College,Public,42200,62400,0.54,0.04
298 (tie),Johnson County Community College,Public,38200,62400,0.54,0.03
298 (tie),North Shore Community College,Public,42500,62400,0.52,0.04
298 (tie),Palomar College,Public,40600,62400,0.64,0.03
298 (tie),Tarrant County College District,Public,39200,62400,0.55,0.05
304 (tie),CUNY Borough of Manhattan Community College,Public,39400,62300,0.55,0.1
304 (tie),College of Saint Mary,Private not-for-profit,44100,62300,N/A,0.03
304 (tie),Grayson College,Public,42800,62300,0.74,0.03
304 (tie),Great Basin College,Public,41700,62300,N/A,0.02
304 (tie),Idaho State University,Public,40600,62300,0.64,0.13
304 (tie),Salem Community College,Public,42200,62300,N/A,0.05
310 (tie),MiraCosta College,Public,41000,62200,0.56,0.03
310 (tie),New Mexico Junior College,Public,40900,62200,N/A,0
312 (tie),Arapahoe Community College,Public,41300,62100,0.53,0.04
312 (tie),Charter Oak State College,Public,40400,62100,N/A,0
312 (tie),East Los Angeles College,Public,40100,62100,0.58,0.01
312 (tie),Front Range Community College,Public,40100,62100,0.51,0.07
312 (tie),Indian Hills Community College,Public,39900,62100,0.64,0.04
312 (tie),Nicholls State University,Public,42100,62100,N/A,0.04
312 (tie),North Hennepin Community College,Public,42800,62100,0.52,0.08
312 (tie),Northern Kentucky University,Public,41900,62100,0.5,0.1
312 (tie),University of North Florida,Public,36300,62100,N/A,0.12
312 (tie),Yuba College,Public,38900,62100,0.64,0.03
322 (tie),College of Southern Nevada,Public,42600,62000,0.6,0.11
322 (tie),Davis & Elkins College,Private not-for-profit,44100,62000,N/A,0.07
322 (tie),Florida Atlantic University,Public,36800,62000,N/A,0.14
322 (tie),Manhattan Area Technical College,Public,41000,62000,N/A,0.08
322 (tie),Oklahoma State University Institute of Technology,Public,40300,62000,0.54,0.12
322 (tie),Pennsylvania State University-Penn State Hazleton,Public,42600,62000,N/A,0.17
322 (tie),University of Cincinnati-Main Campus,Public,40700,62000,0.52,0.18
329 (tie),Bismarck State College,Public,42100,61900,0.62,0.02
329 (tie),Brookhaven College,Public,43200,61900,0.67,0.05
329 (tie),Columbia Basin College,Public,39300,61900,0.56,0.04
329 (tie),Indiana University-Purdue University-Fort Wayne,Public,39600,61900,0.6,0.13
329 (tie),Miami Dade College,Public,38500,61900,0.59,0.02
329 (tie),Northwestern State University of Louisiana,Public,42100,61900,0.71,0.07
329 (tie),Temple University,Public,40200,61900,N/A,0.12
336 (tie),SUNY College of Technology at Alfred,Public,39500,61800,0.58,0.06
336 (tie),Los Angeles Trade Technical College,Public,38300,61800,0.6,0.02
336 (tie),North Central Texas College,Public,40000,61800,0.68,0.06
336 (tie),Phoenix College,Public,41000,61800,0.69,0.05
336 (tie),Rio Salado College,Public,40700,61800,0.61,0.07
336 (tie),South Suburban College,Public,44900,61800,0.67,0.05
336 (tie),SOWELA Technical Community College,Public,40900,61800,0.45,0.04
336 (tie),Saint Paul College,Public,41700,61800,0.67,0.04
344 (tie),Gordon State College,Public,41300,61700,0.62,0.05
344 (tie),Los Angeles City College,Public,42600,61700,0.53,0.01
344 (tie),Moraine Valley Community College,Public,39600,61700,0.52,0.07
344 (tie),Ohio University-Main Campus,Public,43100,61700,0.64,0.1
348 (tie),Brigham Young University-Idaho,Private not-for-profit,37500,61600,0.64,0.13
348 (tie),Dakota County Technical College,Public,41300,61600,0.51,0.04
348 (tie),Dakota Wesleyan University,Private not-for-profit,43300,61600,N/A,0.07
348 (tie),Trocaire College,Private not-for-profit,43500,61600,0.68,0.01
348 (tie),University of Southern Indiana,Public,41800,61600,N/A,0.08
353 (tie),Eastern Arizona College,Public,42300,61500,N/A,0.01
353 (tie),Hallmark University,Private not-for-profit,42000,61500,N/A,0.22
353 (tie),Nashua Community College,Public,38500,61500,N/A,0.09
353 (tie),Portland Community College,Public,40300,61500,0.53,0.07
353 (tie),Southeastern Louisiana University,Public,40100,61500,N/A,0.07
353 (tie),Trinidad State Junior College,Public,40900,61500,N/A,0
359 (tie),Community College of Rhode Island,Public,44500,61400,0.56,0.03
359 (tie),Linn-Benton Community College,Public,40000,61400,0.53,0.05
359 (tie),Tyler Junior College,Public,39800,61400,0.71,0.06
362 (tie),Castleton University,Public,44500,61300,N/A,0.07
362 (tie),Gavilan College,Public,39200,61300,N/A,0.03
362 (tie),Inver Hills Community College,Public,42100,61300,0.66,0.03
362 (tie),Lamar State College-Orange,Public,42500,61300,N/A,0.06
362 (tie),Paul Smiths College of Arts and Science,Private not-for-profit,38200,61300,0.55,0.02
362 (tie),City Colleges of Chicago-Richard J Daley College,Public,41900,61300,0.64,0.03
362 (tie),Sauk Valley Community College,Public,39800,61300,N/A,0.06
362 (tie),Shawnee State University,Public,46800,61300,0.71,0.04
362 (tie),Saint Cloud State University,Public,39100,61300,N/A,0.12
362 (tie),University of Charleston,Private not-for-profit,44300,61300,N/A,0.05
372 (tie),Anoka-Ramsey Community College,Public,41600,61200,0.61,0.07
372 (tie),Citrus College,Public,36900,61200,0.57,0.01
372 (tie),University of Central Arkansas,Public,39200,61200,N/A,0.09
372 (tie),Walla Walla Community College,Public,41200,61200,0.66,0.06
376 (tie),Arizona Western College,Public,40700,61100,N/A,0.04
376 (tie),Lone Star College System,Public,41200,61100,0.54,0.02
376 (tie),Merritt College,Public,44700,61100,N/A,0.02
376 (tie),University of Evansville,Private not-for-profit,40200,61100,N/A,0.15
380 (tie),Del Mar College,Public,44700,61000,0.67,0.03
380 (tie),"Manchester Community College - Manchester, CT",Public,40900,61000,0.55,0.06
380 (tie),Three Rivers Community College,Public,41100,61000,0.6,0.01
383 (tie),CUNY LaGuardia Community College,Public,40900,60900,0.53,0.13
383 (tie),McNeese State University,Public,39700,60900,N/A,0.13
385 (tie),Augusta University,Public,43500,60800,N/A,0.1
385 (tie),Everett Community College,Public,40200,60800,0.49,0.06
385 (tie),Fresno City College,Public,42300,60800,0.64,0.07
385 (tie),San Juan College,Public,39300,60800,0.6,0.02
389 (tie),Cardinal Stritch University,Private not-for-profit,43500,60700,N/A,0.02
389 (tie),Colorado Mesa University,Public,41100,60700,0.75,0.09
389 (tie),Midway University,Private not-for-profit,43500,60700,N/A,0.03
389 (tie),Presentation College,Private not-for-profit,41300,60700,N/A,0.06
389 (tie),Quinsigamond Community College,Public,41300,60700,0.48,0.1
389 (tie),SUNY College of Agriculture and Technology at Cobleskill,Public,39500,60700,0.64,0.06
389 (tie),Skagit Valley College,Public,39900,60700,0.56,0.08
389 (tie),South Georgia State College,Public,38000,60700,N/A,0.02
389 (tie),University of Louisville,Public,39100,60700,N/A,0.18
389 (tie),Vernon College,Public,42500,60700,N/A,0.02
399 (tie),Los Angeles Southwest College,Public,40500,60600,N/A,0.01
399 (tie),Santa Fe Community College,Public,40700,60600,0.7,0.03
399 (tie),City Colleges of Chicago-Harry S Truman College,Public,41700,60600,0.65,0.05
399 (tie),University of Arkansas at Little Rock,Public,40500,60600,N/A,0.12
403 (tie),Baltimore City Community College,Public,43800,60500,0.61,0.07
403 (tie),Harford Community College,Public,40100,60500,0.61,0.07
403 (tie),Hartnell College,Public,39100,60500,N/A,0.05
403 (tie),North Dakota State College of Science,Public,41100,60500,0.66,0.02
403 (tie),Southeast Missouri State University,Public,39400,60500,N/A,0.08
403 (tie),St Cloud Technical and Community College,Public,40500,60500,0.5,0.02
403 (tie),West Los Angeles College,Public,40500,60500,0.5,0.07
410 (tie),Chemeketa Community College,Public,37600,60400,0.65,0.05
410 (tie),Contra Costa College,Public,42100,60400,N/A,0.06
410 (tie),Fort Scott Community College,Public,39400,60400,N/A,0
410 (tie),Henry Ford College,Public,40100,60400,0.52,0.08
410 (tie),Los Angeles Mission College,Public,39200,60400,N/A,0.03
410 (tie),Morgan Community College,Public,42900,60400,N/A,0
